,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,grade
421,23.1270689151,12.3837418258,16.0963606376,22.9047619048,7.27027027027,142.0,13.0,3.0,88.0,75.0,24.0,18.0,5.0,10.0,205.0,254.0,221.0,6.0,21.0,five
422,20.8190738398,11.1684698608,15.0476004558,9.16666666667,6.54545454545,11.0,4.0,0.0,15.0,13.0,0.0,2.0,0.0,2.0,30.0,34.0,20.0,1.0,6.0,five
423,23.7023641872,12.3231401093,16.3922657825,28.2040816327,7.25397973951,336.0,34.0,27.0,224.0,211.0,47.0,60.0,10.0,89.0,542.0,728.0,629.0,25.0,49.0,five
424,21.3426626056,11.22640873,15.4223116933,15.8571428571,7.01801801802,22.0,7.0,0.0,36.0,12.0,0.0,8.0,0.0,3.0,56.0,66.0,43.0,2.0,7.0,five
425,24.6237203803,12.3196249024,16.7037869161,18.015625,7.10928013877,310.0,21.0,8.0,160.0,206.0,29.0,67.0,17.0,94.0,462.0,662.0,477.0,14.0,64.0,five
426,22.8674027673,11.3012890705,15.7312886625,15.5945945946,7.00866551127,284.0,32.0,6.0,255.0,253.0,34.0,61.0,5.0,41.0,603.0,697.0,444.0,13.0,74.0,five
427,23.809521263,12.6776233036,16.1978095228,35.8,7.75977653631,109.0,3.0,0.0,72.0,55.0,9.0,16.0,5.0,15.0,152.0,161.0,192.0,5.0,10.0,five
428,23.5930552788,11.9561837084,16.1973558108,19.7441860465,7.01766784452,219.0,23.0,6.0,124.0,145.0,35.0,66.0,9.0,43.0,370.0,491.0,349.0,9.0,43.0,five
429,24.3912575152,12.5229590811,16.1008285231,23.68,7.86317567568,189.0,14.0,3.0,105.0,107.0,21.0,29.0,8.0,20.0,262.0,272.0,306.0,14.0,25.0,five
430,24.4370890886,12.0760265392,16.3680723817,18.4838709677,7.15532286213,152.0,11.0,2.0,95.0,90.0,29.0,43.0,7.0,44.0,257.0,318.0,244.0,11.0,31.0,five
431,22.7413591758,11.6737895576,15.9556809252,20.2285714286,7.46751412429,331.0,47.0,13.0,220.0,318.0,33.0,95.0,22.0,82.0,666.0,731.0,653.0,32.0,70.0,five
432,22.9739094277,11.8753759978,16.2144566839,16.880952381,6.976022567,186.0,17.0,3.0,125.0,135.0,21.0,43.0,8.0,38.0,324.0,386.0,317.0,6.0,42.0,five
433,23.4500024357,12.1916436256,16.5078169405,23.3043478261,6.8855721393,443.0,68.0,20.0,399.0,200.0,21.0,52.0,11.0,23.0,672.0,958.0,624.0,26.0,69.0,five
434,24.2185841484,11.9163764949,16.2533161212,23.7777777778,7.20798222767,3438.0,175.0,75.0,1730.0,2130.0,472.0,957.0,277.0,1066.0,5289.0,7277.0,5516.0,261.0,549.0,nine
435,22.4003800319,11.3789852887,15.7170167661,20.9275362319,7.27146814404,311.0,50.0,7.0,279.0,329.0,23.0,90.0,9.0,73.0,721.0,819.0,604.0,21.0,69.0,nine
436,22.6927468054,11.6650728073,15.4228152957,17.1293103448,7.5772521389,421.0,85.0,49.0,346.0,366.0,51.0,92.0,7.0,106.0,855.0,1069.0,856.0,62.0,116.0,nine
437,23.5227733217,12.0018394627,16.0629659648,178.333333333,7.43177570093,125.0,7.0,3.0,82.0,112.0,17.0,25.0,6.0,49.0,236.0,281.0,244.0,10.0,3.0,nine
438,23.7868931828,12.5007946096,16.935840419,26.9545454545,6.93760539629,153.0,7.0,8.0,80.0,111.0,13.0,56.0,17.0,29.0,260.0,319.0,271.0,3.0,22.0,nine
439,22.0578588096,10.2549476961,14.5885189046,9.5,7.79824561404,34.0,1.0,2.0,28.0,16.0,6.0,8.0,0.0,1.0,58.0,54.0,58.0,2.0,12.0,nine
440,23.9195618038,12.0714639404,16.4436784344,29.6271186441,7.38901601831,462.0,34.0,28.0,220.0,332.0,69.0,174.0,57.0,64.0,795.0,901.0,806.0,41.0,59.0,nine
441,23.1916206472,11.6572013981,16.1546578895,19.236453202,6.88297055058,840.0,105.0,23.0,693.0,877.0,88.0,253.0,31.0,237.0,1911.0,2354.0,1516.0,35.0,203.0,nine
442,24.304570248,12.5394838095,16.6239340231,24.2898550725,7.18735083532,476.0,19.0,22.0,228.0,270.0,74.0,123.0,38.0,108.0,695.0,932.0,717.0,27.0,69.0,nine
443,23.9462734091,11.72850806,16.166303818,17.015625,6.95041322314,500.0,46.0,3.0,336.0,411.0,77.0,213.0,35.0,135.0,1037.0,1224.0,924.0,30.0,128.0,nine
444,23.1560492705,11.7301535316,15.8645364023,25.5090909091,7.30363506771,411.0,35.0,9.0,283.0,228.0,48.0,63.0,40.0,66.0,622.0,754.0,628.0,21.0,55.0,nine
